Country,Year,Unemployment_rate
Lesotho,1991,36.12
South Africa,1991,29.95
Djibouti,1991,29.36
Lesotho,1992,36.39
South Africa,1992,29.98
Djibouti,1992,29.2
Lesotho,1993,36.74
South Africa,1993,29.92
Djibouti,1993,29.19
Lesotho,1994,36.98
South Africa,1994,29.89
Djibouti,1994,29.02
Lesotho,1995,37.34
Algeria,1995,31.84
South Africa,1995,29.89
Lesotho,1996,37.59
South Africa,1996,29.87
Djibouti,1996,28.84
Lesotho,1997,37.94
South Africa,1997,29.91
Djibouti,1997,28.7
Lesotho,1998,37.16
South Africa,1998,29.95
Djibouti,1998,28.58
Lesotho,1999,36.35
South Africa,1999,29.91
Djibouti,1999,28.43
Lesotho,2000,35.46
South Africa,2000,29.88
Algeria,2000,29.77
Lesotho,2001,34.63
South Africa,2001,30.69
Djibouti,2001,28.22
Lesotho,2002,33.86
South Africa,2002,33.29
Djibouti,2002,28.08
Lesotho,2003,32.96
South Africa,2003,32.31
Djibouti,2003,27.96
Lesotho,2004,32.18
South Africa,2004,29.45
Djibouti,2004,27.85
Lesotho,2005,31.31
South Africa,2005,29.12
Djibouti,2005,27.72
Lesotho,2006,30.46
South Africa,2006,28.34
Eswatini,2006,27.64
Lesotho,2007,29.62
Eswatini,2007,28.24
Djibouti,2007,27.44
Lesotho,2008,28.76
Eswatini,2008,27.68
Djibouti,2008,27.31
Lesotho,2009,28.02
Djibouti,2009,27.22
Eswatini,2009,27.05
Lesotho,2010,27.08
Djibouti,2010,27.06
Eswatini,2010,26.41
Djibouti,2011,26.89
Lesotho,2011,26.24
Eswatini,2011,25.81
Djibouti,2012,26.78
Lesotho,2012,25.37
Eswatini,2012,25.15
Djibouti,2013,26.64
Lesotho,2013,24.58
South Africa,2013,24.56
Djibouti,2014,26.48
South Africa,2014,24.89
Lesotho,2014,24.22
Djibouti,2015,26.33
South Africa,2015,25.15
Lesotho,2015,23.84
South Africa,2016,26.54
Djibouti,2016,26.19
Lesotho,2016,23.48
South Africa,2017,27.04
Djibouti,2017,26.06
Lesotho,2017,23.2
South Africa,2018,26.91
Djibouti,2018,26.19
Lesotho,2018,22.81
South Africa,2019,28.47
Djibouti,2019,26.36
Eswatini,2019,22.84
South Africa,2020,29.22
Djibouti,2020,28.39
Eswatini,2020,25.51
South Africa,2021,33.56
Djibouti,2021,28.39
Eswatini,2021,25.76
