Year,mean_unemployment_rate
1991,9.578653846
1992,9.755769231
1993,9.916923077
1994,9.99
1995,10.11076923
1996,10.04442308
1997,10.01903846
1998,9.972115385
1999,9.971730769
2000,9.9425
2001,9.9525
2002,10.04615385
2003,10.04288462
2004,9.767884615
2005,9.696346154
2006,9.509230769
2007,9.400769231
2008,9.147692308
2009,9.157115385
2010,9.391730769
2011,9.412307692
2012,9.279615385
2013,9.226346154
2014,9.225576923
2015,9.338846154
2016,9.405961538
2017,9.400192308
2018,9.352307692
2019,9.378653846
2020,10.43884615
2021,10.60826923
